Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
37212.48,5736.152784000001,106046.31,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2 ,37212.48,533.942784,43619.79,USD,"Tenancy (Shared Instances), Operating system (Linux), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Daily, (Workload days: Monday, Tuesday, Wednesday, Thursday, Friday, Baseline: 8, Peak: 16, Duration of peak: 8 Hr 00 Min)), Enable monitoring (disabled), Advance EC2 instance (m5.2xlarge), Pricing strategy ( 3 Year  All upfront), Snapshot Frequency (No snapshot storage)"
My Estimate,US East (N. Virginia),,VPN Connection,0,2158.5,25902.00,USD,"Working days per month (22), Number of Site-to-Site VPN Connections (50), Number of subnet associations (2)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,157.86,1894.32,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Data Transfer,0,112.64,1351.68,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Internet (1 TB per month), DT Intra-Region: (1 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,2277.72,27332.64,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB), Nodes (2), Instance Type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (1 TB)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,5.76,69.12,USD,"Number of EC2 instances (16), Number of EIPs per instance (1)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,266.45,3197.40,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,107.57,1290.84,USD,"Data transfer out to internet (1 TB per month), Data transfer out to origin (1 TB per month), Number of requests (HTTPS) (50000 per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,23.55,282.60,USD,S3 Standard storage (1 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,92.16,1105.92,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Internet (1 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
